5,1,35
5,1,34
5,1,33
5,1,32
5,1,31
5,1,30
5,1,29
5,1,28
5,1,27
5,1,26
5,1,25
5,1,24
5,1,23
5,1,22
5,1,21
5,1,20
5,1,19
5,1,18
5,1,17
5,1,16
5,1,15
5,1,14
5,1,13
5,1,12
5,1,11
5,1,10
5,1,9
5,1,8
5,1,7
5,1,6
5,1,5
5,1,4
5,1,3
5,1,2
5,1,1
8,2,35
8,2,34
8,2,33
8,2,32
8,2,31
8,2,30
8,2,29
8,2,28
8,2,27
8,2,26
8,2,25
8,2,24
8,2,23
8,2,22
8,2,21
8,2,20
8,2,19
8,2,18
8,2,17
8,2,16
8,2,15
8,2,14
8,2,13
8,2,12
8,2,11
8,2,10
8,2,9
8,2,8
8,2,7
8,2,6
8,2,5
8,2,4
8,2,3
8,2,2
8,2,1
7,1,35
7,1,34
7,1,33
7,1,32
7,1,31
7,1,30
7,1,29
7,1,28
7,1,27
7,1,26
7,1,25
7,1,24
7,1,23
7,1,22
7,1,21
7,1,20
7,1,19
7,1,18
7,1,17
7,1,16
7,1,15
7,1,14
7,1,13
7,1,12
7,1,11
7,1,10
7,1,9
7,1,8
7,1,7
7,1,6
7,1,5
7,1,4
7,1,3
7,1,2
7,1,1
2,1,35
2,1,34
2,1,33
2,1,32
2,1,31
2,1,30
2,1,29
2,1,28
2,1,27
2,1,26
2,1,25
2,1,24
2,1,23
2,1,22
2,1,21
2,1,20
2,1,19
2,1,18
2,1,17
2,1,16
2,1,15
2,1,14
2,1,13
2,1,12
2,1,11
2,1,10
2,1,9
2,1,8
2,1,7
2,1,6
2,1,5
2,1,4
2,1,3
2,1,2
2,1,1
10,1,35
10,1,34
10,1,33
10,1,32
10,1,31
10,1,30
10,1,29
10,1,28
10,1,27
10,1,26
10,1,25
10,1,24
10,1,23
10,1,22
10,1,21
10,1,20
10,1,19
10,1,18
10,1,17
10,1,16
10,1,15
10,1,14
10,1,13
10,1,12
10,1,11
10,1,10
10,1,9
10,1,8
10,1,7
10,1,6
10,1,5
10,1,4
10,1,3
10,1,2
10,1,1
4,2,35
4,2,34
4,2,33
4,2,32
4,2,31
4,2,30
4,2,29
4,2,28
4,2,27
4,2,26
4,2,25
4,2,24
4,2,23
4,2,22
4,2,21
4,2,20
4,2,19
4,2,18
4,2,17
4,2,16
4,2,15
4,2,14
4,2,13
4,2,12
4,2,11
4,2,10
4,2,9
4,2,8
4,2,7
4,2,6
4,2,5
4,2,4
4,2,3
4,2,2
4,2,1
6,2,35
6,2,34
6,2,33
6,2,32
6,2,31
6,2,30
6,2,29
6,2,28
6,2,27
6,2,26
6,2,25
6,2,24
6,2,23
6,2,22
6,2,21
6,2,20
6,2,19
6,2,18
6,2,17
6,2,16
6,2,15
6,2,14
6,2,13
6,2,12
6,2,11
